root_tweet_id,text,thread_head,brand_reply,dm_redirect,pre_intent,pre_confidence,pre_escalate,pre_escalate_reason,intent,escalate,verified,label_process
1555734,Hey @115888 here’s an idea: let users choose the categories of ads that are most relevant to them and block ones that aren’t. I’m tired of hearing the same birth center ad multiple times/day. I know I’m a woman but having a child is not an interest of mind.,"customer: Hey @115888 here’s an idea: let users choose the categories of ads that are most relevant to them and block ones that aren’t. I’m tired of hearing the same birth center ad multiple times/day. I know I’m a woman but having a child is not an interest of mind.
spotify: Hey Sonja! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /RA
spotify: Hey Sonja! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /RA",Hey Sonja! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /RA,False,feature_howto,medium,False,heuristic: historically answered publicly,feature_howto,False,False,prelabel+adjudicated-v2
1931908,hi there- I am trying to reset my password but it keeps saying that the “CSRF token is invalid”. What does that mean?,"customer: hi there- I am trying to reset my password but it keeps saying that the “CSRF token is invalid”. What does that mean?
spotify: Hey there! Can you send us a DM with your account's email address or username? We'll take a look backstage /AR
spotify: Hey there! Can you send us a DM with your account's email address or username? We'll take a look backstage /AR",Hey there! Can you send us a DM with your account's email address or username? We'll take a look backstage /AR,True,account_access,high,True,heuristic: brand historically moved this to DM,account_access,True,False,prelabel+adjudicated-v2
467625,So I guess @115888 cancels your students subscription after a year and then charges you $10/month and ALSO cancels your @115940 subscription without any warning so guess who doesn’t have Hulu rn because it won’t register that I’m a student? #help @hulu_support @SpotifyCares,"customer: So I guess @115888 cancels your students subscription after a year and then charges you $10/month and ALSO cancels your @115940 subscription without any warning so guess who doesn’t have Hulu rn because it won’t register that I’m a student? #help @hulu_support @SpotifyCares
spotify: Hey there! Can you DM us your account's email address or username? We'll take a look /NS https://t.co/ldFdZRiNAt
customer: @115888 @115940 @hulu_support @SpotifyCares Wait u can get Hulu for free as a student
spotify: Hey there! Can you DM us your account's email address or username? We'll take a look /NS https://t.co/ldFdZRiNAt",Hey there! Can you DM us your account's email address or username? We'll take a look /NS https://t.co/ldFdZRiNAt,True,billing_charges,high,True,heuristic: brand historically moved this to DM,billing_charges,True,False,prelabel+adjudicated-v2
1500875,"In case you were wondering if my Spotify discover got better: this week features Everytime We Touch, Jacob Sartorius, and off-brand Kidz Bop","customer: In case you were wondering if my Spotify discover got better: this week features Everytime We Touch, Jacob Sartorius, and off-brand Kidz Bop
spotify: 1: Hey, sorry to hear Discover Weekly wasn’t to your liking this week! It’ll be re-tuned on Monday. Check out Daily Mix in the meantime.
customer: PLEASE let us downvote discover tracks. Please. I beg of you. I can't take this","1: Hey, sorry to hear Discover Weekly wasn’t to your liking this week! It’ll be re-tuned on Monday. Check out Daily Mix in the meantime.",False,praise_feedback,medium,False,heuristic: historically answered publicly,feature_howto,False,False,prelabel+adjudicated-v2
1991649,get on it por favor https://t.co/fZyQCJ7FeE,"customer: get on it por favor https://t.co/fZyQCJ7FeE
spotify: Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /AR
spotify: Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /AR","Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /AR",False,other,low,False,heuristic: historically answered publicly,other,False,False,prelabel+adjudicated-v2
1995989,I STILL WANT @115888 TO ADD HIT THE GROUND 🗣🗣🗣,"customer: I STILL WANT @115888 TO ADD HIT THE GROUND 🗣🗣🗣
spotify: Hi there. We're sorry you feel that way. Music availability all boils down to licensing agreements. More info at https://t.co/VMrgnGpB4G /LM
spotify: Hi there. We're sorry you feel that way. Music availability all boils down to licensing agreements. More info at https://t.co/VMrgnGpB4G /LM",Hi there. We're sorry you feel that way. Music availability all boils down to licensing agreements. More info at https://t.co/VMrgnGpB4G /LM,False,content_availability,medium,False,heuristic: historically answered publicly,content_availability,False,False,prelabel+adjudicated-v2
1996910,"I really love how @115888 actually responds to the artists who have music on their platform in a timely manner. Now, if only i knew where to send a pitch to be included on their playlists 🤔 https://t.co/c9bqrNsBGR","customer: I really love how @115888 actually responds to the artists who have music on their platform in a timely manner. Now, if only i knew where to send a pitch to be included on their playlists 🤔 https://t.co/c9bqrNsBGR
spotify: Our Curation team are independent so there's no formal submission process. Check out https://t.co/6BMOmfiZvQ to help you gain visibility /DQ
spotify: Our Curation team are independent so there's no formal submission process. Check out https://t.co/6BMOmfiZvQ to help you gain visibility /DQ",Our Curation team are independent so there's no formal submission process. Check out https://t.co/6BMOmfiZvQ to help you gain visibility /DQ,False,praise_feedback,medium,False,heuristic: historically answered publicly,praise_feedback,False,False,prelabel+adjudicated-v2
1515490,amazing  https://t.co/nCRkjdn1cc,"customer: amazing  https://t.co/nCRkjdn1cc
spotify: Awesome! Feel free to send a tweet our way if you need help with anything else 🙂 /JI
spotify: Awesome! Feel free to send a tweet our way if you need help with anything else 🙂 /JI",Awesome! Feel free to send a tweet our way if you need help with anything else 🙂 /JI,False,praise_feedback,high,False,heuristic: historically answered publicly,praise_feedback,False,False,prelabel+adjudicated-v2
2001085,Fam @SpotifyCares can you guys refresh you “most listened to” chart??? Its been stuck for over a week now.,"customer: Fam @SpotifyCares can you guys refresh you “most listened to” chart??? Its been stuck for over a week now.
spotify: Don't fret! It's being updated regularly &amp; we'll be sure to let the right team know of your observations. Any questions, give us a shout /GN
spotify: Don't fret! It's being updated regularly &amp; we'll be sure to let the right team know of your observations. Any questions, give us a shout /GN","Don't fret! It's being updated regularly &amp; we'll be sure to let the right team know of your observations. Any questions, give us a shout /GN",False,app_technical,high,False,heuristic: historically answered publicly,app_technical,False,False,prelabel+adjudicated-v2
2211025,@117168 any chance of a Spotify application for the Nintendo Switch? The PS4 and Xbox One have it now the Nintendo Switch needs it! :D,"customer: @117168 any chance of a Spotify application for the Nintendo Switch? The PS4 and Xbox One have it now the Nintendo Switch needs it! :D
spotify: Hi! We don't have any info on this right now, but you can also vote for the official idea here: https://t.co/mkQ919Yh0d /RB
spotify: Hi! We don't have any info on this right now, but you can also vote for the official idea here: https://t.co/mkQ919Yh0d /RB","Hi! We don't have any info on this right now, but you can also vote for the official idea here: https://t.co/mkQ919Yh0d /RB",False,feature_howto,high,False,heuristic: historically answered publicly,feature_howto,False,False,prelabel+adjudicated-v2
